"name","company","gender","age","age_groups","bookings_cnt","total_spending","users_seg","first_booking_date","latest_booking_date","life_span_years","recency_in_years","avg_booking_value","avg_yearly_spend"
"William Douthitt","4You","Male",37,"30-39","54","131242.51","VIP","2019-10-31","2022-12-22","3.15","2.24","2430.42","41664.29"
"Tisha Eberly","4You","n/a",27,"20-29","54","131228.26","VIP","2019-10-03","2022-08-18","2.88","2.58","2430.15","45565.37"
"Marian Dunn","4You","Female",63,"60-69","55","131214.27","VIP","2019-10-24","2023-04-13","3.47","1.93","2385.71","37813.91"
"Thomas Smith","Acme Factory","Male",59,"50-59","48","130818.46","VIP","2019-09-26","2022-08-25","2.92","2.56","2725.38","44800.84"
"Forrest Kaufman","Acme Factory","n/a",58,"50-59","53","130800.69","VIP","2019-09-26","2023-07-13","3.80","1.68","2467.94","34421.23"
"Heather Chambers","Monsters CYA","Female",47,"40-49","53","130791.60","VIP","2019-10-03","2022-09-08","2.93","2.52","2467.77","44638.77"
"Sharyl Simmons","4You","Female",36,"30-39","55","130365.70","VIP","2019-11-07","2023-05-25","3.55","1.81","2370.29","36722.73"
"Regina Garza","Wonka Company","Female",29,"20-29","55","130345.11","VIP","2019-10-31","2023-06-15","3.62","1.76","2369.91","36006.94"
"Cynthia Mekee","Wonka Company","Female",31,"30-39","53","130336.05","VIP","2019-10-03","2022-11-17","3.13","2.33","2459.17","41640.91"
"Laurie Fine","Monsters CYA","Female",65,"60-69","55","130335.17","VIP","2019-09-26","2023-02-16","3.39","2.08","2369.73","38446.95"
"Nancy Kramer","Acme Factory","Female",55,"50-59","50","130311.67","VIP","2019-10-17","2022-10-27","3.03","2.39","2606.23","43007.15"
"Jack Sabo","4You","n/a",41,"40-49","52","130137.97","VIP","2019-10-03","2022-12-01","3.16","2.29","2502.65","41182.90"
"Rafael Wood","Monsters CYA","n/a",61,"60-69","55","130100.99","VIP","2019-10-10","2023-05-04","3.57","1.87","2365.47","36442.85"
"Scott Schreyer","4You","Male",63,"60-69","55","130030.52","VIP","2019-10-03","2022-09-22","2.97","2.48","2364.19","43781.32"
"James Ayala","Acme Factory","Male",23,"20-29","47","129978.61","VIP","2019-10-03","2022-10-06","3.01","2.45","2765.50","43182.26"
"Matthew Middendorf","4You","Male",60,"60-69","53","129763.08","VIP","2019-10-31","2023-06-01","3.59","1.79","2448.36","36145.70"
"Kirk Mccormick","Acme Factory","Male",55,"50-59","53","129628.13","VIP","2019-10-10","2022-05-12","2.59","2.85","2445.81","50049.47"
"Laura Burns","4You","Female",23,"20-29","58","129480.76","VIP","2019-09-26","2023-01-19","3.32","2.16","2232.43","39000.23"
"Robert Cuomo","4You","n/a",41,"40-49","54","129378.17","VIP","2019-10-03","2022-09-22","2.97","2.48","2395.89","43561.67"
"Johnny Odom","4You","Male",29,"20-29","55","129116.41","VIP","2019-10-17","2022-09-29","2.95","2.47","2347.57","43768.27"
"Kathryn Childress","4You","Female",37,"30-39","55","128849.48","VIP","2019-11-07","2023-03-02","3.32","2.04","2342.72","38810.08"
"Wesley Locker","4You","Male",44,"40-49","53","128845.37","VIP","2019-09-26","2023-03-30","3.51","1.97","2431.04","36708.08"
"Robin Taylor","Umbrella LTDA","Male",28,"20-29","50","128823.66","VIP","2019-10-17","2022-07-21","2.76","2.66","2576.47","46675.24"
"Linda Speight","4You","Female",52,"50-59","53","128682.01","VIP","2019-11-07","2022-09-22","2.88","2.48","2427.96","44681.25"
"Timothy Boyce","Umbrella LTDA","Male",65,"60-69","50","128538.51","VIP","2019-10-10","2022-09-22","2.95","2.48","2570.77","43572.38"
"Nathan Robertson","Acme Factory","Male",58,"50-59","47","128321.02","VIP","2019-10-10","2022-08-11","2.84","2.60","2730.23","45183.46"
"David Trost","Umbrella LTDA","Male",40,"40-49","45","128303.27","VIP","2019-10-10","2022-11-03","3.07","2.37","2851.18","41792.60"
"Virginia Roberts","4You","Female",61,"60-69","54","128204.02","VIP","2019-10-03","2023-05-11","3.61","1.85","2374.15","35513.58"
"Bobby Rutledge","4You","Male",36,"30-39","54","128076.80","VIP","2019-10-03","2022-03-17","2.45","3.00","2371.79","52276.24"
"Rashida Allan","Acme Factory","n/a",55,"50-59","50","128005.42","VIP","2019-10-10","2022-08-25","2.88","2.56","2560.11","44446.33"
"Irene Tucker","4You","n/a",36,"30-39","50","127754.40","VIP","2019-10-10","2023-01-26","3.30","2.14","2555.09","38713.45"
"Christopher Wilkerson","Umbrella LTDA","n/a",47,"40-49","46","127577.68","VIP","2019-10-03","2022-09-22","2.97","2.48","2773.43","42955.45"
"Julie Hamson","Monsters CYA","Female",47,"40-49","56","127238.95","VIP","2019-10-17","2022-12-29","3.20","2.22","2272.12","39762.17"
"Annette Uppencamp","Umbrella LTDA","n/a",49,"40-49","51","127198.71","VIP","2019-09-26","2022-11-03","3.11","2.37","2494.09","40899.91"
"Angela Cooper","4You","Female",50,"50-59","53","126975.46","VIP","2019-09-26","2023-03-23","3.49","1.99","2395.76","36382.65"
"Justin Bedard","4You","Male",38,"30-39","55","126869.14","VIP","2019-09-26","2023-03-30","3.51","1.97","2306.71","36145.05"
"Mary Cline","Umbrella LTDA","Female",36,"30-39","49","126846.04","VIP","2019-10-03","2022-08-18","2.88","2.58","2588.69","44043.76"
"Ruth Bennett","Wonka Company","Female",51,"50-59","53","126593.91","VIP","2019-10-03","2022-05-05","2.59","2.87","2388.56","48877.96"
"Christopher Allred","Umbrella LTDA","Male",31,"30-39","49","126507.61","VIP","2019-10-31","2022-10-20","2.97","2.41","2581.79","42595.15"
"Isabel Guthrie","4You","Female",36,"30-39","51","126293.34","VIP","2019-10-24","2022-11-10","3.05","2.35","2476.34","41407.65"
"Arthur Acevedo","Monsters CYA","Male",24,"20-29","52","126169.12","VIP","2019-10-03","2022-08-18","2.88","2.58","2426.33","43808.72"
"Angelina Lane","Monsters CYA","n/a",29,"20-29","53","126157.39","VIP","2019-10-24","2022-09-01","2.86","2.54","2380.33","44110.98"
"Kimberly Jessica","Umbrella LTDA","Female",37,"30-39","48","126143.27","VIP","2019-10-17","2023-01-12","3.24","2.18","2627.98","38933.11"
"Elisa Vizcarra","4You","Female",42,"40-49","51","125944.41","VIP","2019-10-17","2022-09-08","2.90","2.52","2469.50","43429.11"
"Mark Nemec","4You","Male",25,"20-29","54","125915.06","VIP","2019-10-10","2022-08-04","2.82","2.62","2331.76","44650.73"
"Edward Zahner","Monsters CYA","Male",42,"40-49","55","125783.85","VIP","2019-09-26","2022-11-03","3.11","2.37","2286.98","40444.97"
"Jean Duke","Acme Factory","Male",36,"30-39","48","125736.85","VIP","2019-11-14","2022-10-13","2.92","2.43","2619.52","43060.57"
"Shane Hubner","4You","Female",47,"40-49","50","125542.13","VIP","2019-09-26","2022-09-15","2.97","2.50","2510.84","42270.08"
"Bernice Baker","Acme Factory","Female",23,"20-29","48","125493.73","VIP","2019-09-26","2022-04-28","2.59","2.89","2614.45","48453.18"
"Francisco Sierra","Umbrella LTDA","Male",28,"20-29","50","125463.58","VIP","2019-09-26","2022-06-09","2.70","2.77","2509.27","46467.99"
"Victor Ahern","Umbrella LTDA","n/a",40,"40-49","46","125046.78","VIP","2019-10-10","2022-11-17","3.11","2.33","2718.41","40207.97"
"Delia Romero","4You","n/a",59,"50-59","54","125028.47","VIP","2019-10-03","2022-10-20","3.05","2.41","2315.34","40992.94"
"Patrick Henderson","Wonka Company","Male",37,"30-39","52","124981.54","VIP","2019-10-10","2023-06-08","3.66","1.78","2403.49","34147.96"
"Robert Mitchell","Wonka Company","Male",49,"40-49","54","124966.96","VIP","2019-09-26","2023-05-04","3.61","1.87","2314.20","34616.89"
"Sarah Axelson","4You","n/a",42,"40-49","51","124857.44","VIP","2019-10-31","2022-06-09","2.61","2.77","2448.19","47838.10"
"Lindsey Pille","4You","n/a",39,"30-39","51","124632.13","VIP","2019-11-07","2023-03-09","3.34","2.02","2443.77","37315.01"
"Betty Amos","Umbrella LTDA","Female",60,"60-69","47","124629.29","VIP","2019-10-17","2022-04-14","2.49","2.93","2651.69","50051.92"
"Shirley Ortiz","Umbrella LTDA","Female",63,"60-69","46","124325.33","VIP","2019-09-26","2022-11-24","3.16","2.31","2702.72","39343.46"
"Charles Zoutte","Acme Factory","Male",64,"60-69","48","124317.75","VIP","2019-10-24","2022-08-18","2.82","2.58","2589.95","44084.31"
"Antonia Mcrae","4You","Female",45,"40-49","52","124177.03","VIP","2019-10-03","2023-03-30","3.49","1.97","2388.02","35580.81"
"Doris Weaver","4You","n/a",44,"40-49","51","124040.80","VIP","2019-10-10","2023-04-06","3.49","1.95","2432.17","35541.78"
"Rose Snow","Acme Factory","Female",23,"20-29","49","124007.78","VIP","2019-09-26","2022-07-14","2.80","2.68","2530.77","44288.49"
"Anthony Doggett","Acme Factory","Male",28,"20-29","47","123510.21","VIP","2019-10-03","2022-03-31","2.49","2.96","2627.88","49602.49"
"Doris Ramirez","4You","Female",27,"20-29","48","123502.00","VIP","2019-10-03","2022-11-24","3.15","2.31","2572.96","39206.98"
"Dana Looney","Monsters CYA","Female",56,"50-59","51","123248.17","VIP","2019-09-26","2022-09-08","2.95","2.52","2416.63","41779.04"
"Diego Boday","Monsters CYA","Male",50,"50-59","55","123228.96","VIP","2019-10-31","2023-01-26","3.24","2.14","2240.53","38033.63"
"James Pizarro","Wonka Company","Male",64,"60-69","56","123166.92","VIP","2019-10-10","2022-12-01","3.15","2.29","2199.41","39100.61"
"Frank Papa","Monsters CYA","Male",33,"30-39","49","123076.92","VIP","2019-10-31","2023-05-25","3.57","1.81","2511.77","34475.33"
"Randy Sao","4You","Male",65,"60-69","55","122982.61","VIP","2019-10-17","2023-03-30","3.45","1.97","2236.05","35647.13"
"Dean Lindberg","4You","Male",42,"40-49","54","122803.71","VIP","2019-10-17","2023-04-13","3.49","1.93","2274.14","35187.31"
"Carlos Campbell","4You","n/a",42,"40-49","51","122218.08","VIP","2019-10-03","2023-02-02","3.34","2.12","2396.43","36592.24"
"Robert Legros","4You","Male",59,"50-59","50","122156.77","VIP","2019-10-10","2023-03-23","3.45","1.99","2443.14","35407.76"
"Brian Swigert","Umbrella LTDA","n/a",55,"50-59","47","121979.63","VIP","2019-10-03","2022-08-11","2.86","2.60","2595.31","42650.22"
"Javier Anthony","Monsters CYA","Male",24,"20-29","50","121924.22","VIP","2019-10-10","2022-11-24","3.13","2.31","2438.48","38953.42"
"David Donovan","4You","Male",34,"30-39","52","121773.43","VIP","2019-10-17","2023-01-26","3.28","2.14","2341.80","37126.05"
"Frances Bass","Wonka Company","Female",27,"20-29","47","121689.19","VIP","2019-09-26","2022-09-15","2.97","2.50","2589.13","40972.79"
"Renee Brock","4You","Female",24,"20-29","48","121452.68","VIP","2019-10-03","2022-07-07","2.76","2.70","2530.26","44004.59"
"Pauline Huff","Wonka Company","Female",59,"50-59","54","121406.88","VIP","2019-10-17","2023-01-05","3.22","2.20","2248.28","37704.00"
"David Leone","Monsters CYA","Male",43,"40-49","49","121397.90","VIP","2019-11-14","2022-12-15","3.09","2.25","2477.51","39287.35"
"Ted Gowins","Wonka Company","n/a",32,"30-39","54","121303.13","VIP","2019-09-26","2022-05-26","2.67","2.81","2246.35","45431.88"
"Adam Pittman","4You","Male",32,"30-39","51","121264.48","VIP","2019-09-26","2023-04-13","3.55","1.93","2377.73","34159.01"
"Myra Rivera","Monsters CYA","Female",57,"50-59","56","121254.13","VIP","2019-09-26","2023-01-19","3.32","2.16","2165.25","36522.33"
"Troy Reader","Acme Factory","n/a",40,"40-49","45","121105.23","VIP","2019-09-26","2022-03-03","2.44","3.04","2691.23","49633.29"
"Charles Wilenkin","4You","Male",55,"50-59","49","121102.05","VIP","2019-10-10","2022-08-18","2.86","2.58","2471.47","42343.37"
"Lori Mcknight","Monsters CYA","Female",44,"40-49","51","120966.58","VIP","2019-12-05","2022-11-10","2.93","2.35","2371.89","41285.52"
"Amanda Linsky","Wonka Company","n/a",40,"40-49","51","120110.36","VIP","2019-09-26","2022-12-15","3.22","2.25","2355.11","37301.35"
"Joyce Jacobsen","4You","Female",55,"50-59","52","119978.50","VIP","2019-10-10","2023-04-13","3.51","1.93","2307.28","34181.91"
"Ulysses Barker","4You","Male",40,"40-49","51","119704.89","VIP","2019-09-26","2023-01-19","3.32","2.16","2347.15","36055.69"
"Martha Smith","Wonka Company","Female",27,"20-29","49","119607.58","VIP","2019-10-24","2022-11-03","3.03","2.37","2440.97","39474.45"
"Shirley Baldwin","Acme Factory","Female",38,"30-39","46","119603.48","VIP","2019-11-21","2022-09-08","2.80","2.52","2600.08","42715.53"
"Regan Edwards","Acme Factory","Female",54,"50-59","47","119534.14","VIP","2019-10-17","2022-08-11","2.82","2.60","2543.28","42387.99"
"Adam Hawkins","4You","n/a",43,"40-49","52","119404.29","VIP","2019-10-03","2023-06-01","3.66","1.79","2296.24","32624.12"
"Myesha Taranto","Monsters CYA","Female",41,"40-49","50","119278.59","VIP","2019-10-24","2022-10-27","3.01","2.39","2385.57","39627.44"
"Fred Moreta","4You","Male",47,"40-49","53","119168.76","VIP","2019-10-03","2023-02-02","3.34","2.12","2248.47","35679.27"
"Misty Garcia","4You","n/a",25,"20-29","49","119093.06","VIP","2019-10-10","2022-08-18","2.86","2.58","2430.47","41640.93"
"Anthony Young","Wonka Company","Male",30,"30-39","55","118960.91","VIP","2019-11-07","2023-07-13","3.68","1.68","2162.93","32326.33"
"Sam Donnelly","Acme Factory","Male",26,"20-29","45","118936.86","VIP","2019-10-03","2022-09-29","2.99","2.47","2643.04","39778.21"
"Ivory Shiner","4You","n/a",38,"30-39","50","118797.52","VIP","2019-10-10","2022-01-20","2.28","3.16","2375.95","52104.18"
"Eva Grant","4You","Female",32,"30-39","47","118643.85","VIP","2019-09-26","2022-01-06","2.28","3.19","2524.34","52036.78"
"Addie Jones","Umbrella LTDA","Female",37,"30-39","42","118262.65","VIP","2019-11-14","2023-05-04","3.47","1.87","2815.78","34081.46"
"Jennifer Ferrer","Acme Factory","Female",65,"60-69","48","118244.94","VIP","2019-10-03","2022-08-04","2.84","2.62","2463.44","41635.54"
"Lazaro Jordan","Monsters CYA","Male",65,"60-69","50","118244.88","VIP","2019-10-31","2023-01-12","3.20","2.18","2364.90","36951.53"
"Yvonne Ridgeway","Monsters CYA","n/a",30,"30-39","49","117737.13","VIP","2019-10-03","2022-10-06","3.01","2.45","2402.80","39115.33"
"Grace Walling","Umbrella LTDA","n/a",51,"50-59","43","117692.11","VIP","2019-09-26","2022-05-05","2.61","2.87","2737.03","45092.76"
"Jerry Vance","4You","n/a",55,"50-59","46","117589.01","VIP","2019-10-31","2022-08-04","2.76","2.62","2556.28","42604.71"
"Jerry Warman","Umbrella LTDA","Male",22,"20-29","48","117575.30","VIP","2019-10-03","2023-01-19","3.30","2.16","2449.49","35628.88"
"John Martindale","Umbrella LTDA","Male",30,"30-39","45","117434.36","VIP","2019-10-17","2022-03-03","2.38","3.04","2609.65","49342.17"
"Maria Averitt","4You","Female",24,"20-29","50","117335.14","VIP","2019-09-26","2022-06-09","2.70","2.77","2346.70","43457.46"
"Loma Walker","Wonka Company","Female",25,"20-29","51","117285.01","VIP","2019-09-26","2023-01-19","3.32","2.16","2299.71","35326.81"
"Christopher Cooper","Monsters CYA","Male",60,"60-69","50","117241.14","VIP","2019-09-26","2022-10-27","3.09","2.39","2344.82","37942.12"
"Katharine Perry","Wonka Company","Female",54,"50-59","50","117229.87","VIP","2019-09-26","2022-12-08","3.20","2.27","2344.60","36634.33"
"Joyce Holsten","Umbrella LTDA","Female",42,"40-49","46","117215.06","VIP","2019-09-26","2022-09-08","2.95","2.52","2548.15","39733.92"
"Nicole Gray","Acme Factory","Female",43,"40-49","48","117195.66","VIP","2019-09-26","2022-11-17","3.15","2.33","2441.58","37204.97"
"Luther Campbell","Acme Factory","Male",49,"40-49","44","117153.92","VIP","2019-10-03","2022-06-23","2.72","2.73","2662.59","43071.29"
"Helen Weidert","Wonka Company","n/a",24,"20-29","50","117077.38","VIP","2019-10-31","2023-02-02","3.26","2.12","2341.55","35913.31"
"Bart Haverstock","4You","Male",21,"20-29","48","117058.23","VIP","2019-09-26","2022-09-22","2.99","2.48","2438.71","39149.91"
"Carmen Delisi","Wonka Company","Male",26,"20-29","49","116938.39","VIP","2019-10-03","2023-03-23","3.47","1.99","2386.50","33699.82"
"Laura Jaynes","Acme Factory","Female",44,"40-49","44","116716.76","VIP","2019-10-17","2023-01-12","3.24","2.18","2652.65","36023.69"
"Janet Bufkin","Umbrella LTDA","Female",43,"40-49","44","116628.12","VIP","2019-09-26","2022-06-02","2.68","2.79","2650.64","43517.96"
"Adan Duarte","4You","n/a",35,"30-39","48","116617.96","VIP","2019-10-10","2022-05-05","2.57","2.87","2429.54","45376.64"
"Doris Irby","Acme Factory","Female",31,"30-39","48","116491.74","VIP","2019-10-03","2023-05-25","3.64","1.81","2426.91","32003.23"
"Marty Ferguson","4You","Male",57,"50-59","47","116480.57","VIP","2020-01-23","2023-02-09","3.05","2.10","2478.31","38190.35"
"Grace Martin","Acme Factory","Female",27,"20-29","42","116296.56","VIP","2019-09-26","2022-07-21","2.82","2.66","2768.97","41239.91"
"Jason Fraser","Umbrella LTDA","n/a",26,"20-29","46","116200.01","VIP","2019-10-31","2022-04-21","2.47","2.91","2526.09","47044.54"
"Laura Helle","Umbrella LTDA","n/a",59,"50-59","42","115882.15","VIP","2019-11-21","2022-10-13","2.90","2.43","2759.10","39959.36"
"Georgina Trevino","4You","Female",36,"30-39","52","115875.26","VIP","2019-10-03","2022-10-20","3.05","2.41","2228.37","37991.89"
"Gary Kearney","Monsters CYA","Male",55,"50-59","50","115717.15","VIP","2019-10-17","2022-12-29","3.20","2.22","2314.34","36161.61"
"Barbara Oliver","4You","n/a",61,"60-69","48","115700.04","VIP","2019-09-26","2022-07-21","2.82","2.66","2410.42","41028.38"
"Melissa Long","4You","Female",41,"40-49","45","115645.80","VIP","2019-09-26","2022-08-04","2.86","2.62","2569.91","40435.59"
"Katelyn Ogorman","Monsters CYA","n/a",46,"40-49","50","115594.87","VIP","2019-10-10","2023-04-27","3.55","1.89","2311.90","32561.94"
"Merle Gravatt","4You","Male",59,"50-59","47","115553.11","VIP","2019-10-10","2022-08-11","2.84","2.60","2458.58","40687.71"
"Thomas Cagle","Wonka Company","Male",42,"40-49","49","115502.74","VIP","2019-10-10","2022-10-27","3.05","2.39","2357.20","37869.75"
"Walter Bernat","Acme Factory","Male",27,"20-29","43","115419.52","VIP","2019-10-03","2022-05-19","2.63","2.83","2684.17","43885.75"
"Santo Christ","Acme Factory","Male",46,"40-49","44","115295.36","VIP","2019-10-31","2022-09-15","2.88","2.50","2620.35","40033.11"
"Neil Tortora","Acme Factory","n/a",38,"30-39","45","115289.20","VIP","2019-10-10","2022-08-18","2.86","2.58","2561.98","40310.91"
"Charles Plotkin","Umbrella LTDA","Male",51,"50-59","42","115238.97","VIP","2019-10-10","2022-08-11","2.84","2.60","2743.79","40577.10"
"Davina Tyler","Wonka Company","Female",22,"20-29","51","114985.48","VIP","2019-09-26","2022-09-15","2.97","2.50","2254.62","38715.65"
"Robert Coronado","4You","Male",32,"30-39","46","114955.57","VIP","2019-11-14","2022-10-20","2.93","2.41","2499.03","39233.98"
"Nicholas Goodman","4You","Male",31,"30-39","50","114886.73","VIP","2019-10-31","2023-05-25","3.57","1.81","2297.73","32181.16"
"Robert Bell","4You","Male",22,"20-29","47","114853.33","VIP","2019-10-31","2022-04-28","2.49","2.89","2443.69","46125.84"
"Jason Griess","4You","n/a",45,"40-49","50","114667.89","VIP","2019-09-26","2022-11-03","3.11","2.37","2293.36","36870.70"
"Bonnie Romero","4You","n/a",65,"60-69","46","114641.14","VIP","2019-11-07","2022-05-05","2.49","2.87","2492.20","46040.62"
"Sandra Cruson","4You","Female",30,"30-39","47","114421.64","VIP","2019-10-03","2023-05-11","3.61","1.85","2434.50","31695.75"
"Mathilde Boone","4You","Female",52,"50-59","45","114303.69","VIP","2019-10-17","2022-01-06","2.22","3.19","2540.08","51488.15"
"Eric Limbrick","Wonka Company","n/a",42,"40-49","46","114228.70","VIP","2019-10-03","2023-03-02","3.41","2.04","2483.23","33498.15"
"William Glancy","Wonka Company","Male",64,"60-69","48","114046.95","VIP","2019-09-26","2022-12-01","3.18","2.29","2375.98","35863.82"
"Phyllis Morse","Wonka Company","Female",46,"40-49","49","113984.89","VIP","2019-10-17","2022-06-30","2.70","2.72","2326.22","42216.63"
"Jake Rollo","Wonka Company","Male",60,"60-69","48","113982.93","VIP","2019-10-17","2022-07-28","2.78","2.64","2374.64","41001.05"
"Jean Obrien","4You","Female",53,"50-59","51","113719.43","VIP","2019-10-17","2022-11-17","3.09","2.33","2229.79","36802.40"
"Debra Bailey","4You","Female",61,"60-69","50","113694.88","VIP","2019-09-26","2023-01-12","3.30","2.18","2273.90","34452.99"
"Ma Hall","Monsters CYA","Female",63,"60-69","51","113326.41","VIP","2019-10-10","2023-04-13","3.51","1.93","2222.09","32286.73"
"Richard Bouton","4You","n/a",38,"30-39","44","113321.73","VIP","2019-09-26","2021-12-02","2.19","3.29","2575.49","51745.08"
"Shirley Smith","Wonka Company","Female",32,"30-39","49","113297.84","VIP","2019-10-03","2023-01-26","3.32","2.14","2312.20","34125.86"
"Matthew Freeman","Wonka Company","n/a",45,"40-49","51","113242.26","VIP","2019-10-24","2023-03-09","3.38","2.02","2220.44","33503.63"
"Mario Mendoza","Acme Factory","Male",41,"40-49","43","113104.16","VIP","2019-11-28","2022-06-30","2.59","2.72","2630.33","43669.56"
"Terrence Smith","Umbrella LTDA","n/a",23,"20-29","41","113023.08","VIP","2019-09-26","2022-03-17","2.47","3.00","2756.66","45758.33"
"Joseph Colvin","Umbrella LTDA","Male",50,"50-59","44","112841.81","VIP","2019-10-17","2022-07-14","2.74","2.68","2564.59","41183.14"
"Samuel Bejarano","Umbrella LTDA","Male",36,"30-39","40","112424.78","VIP","2019-10-10","2022-06-02","2.65","2.79","2810.62","42424.45"
"William Northey","Monsters CYA","Male",31,"30-39","49","112174.86","VIP","2019-10-10","2023-01-19","3.28","2.16","2289.28","34199.65"
"William Battey","Acme Factory","Male",28,"20-29","40","112064.21","VIP","2019-09-26","2022-04-28","2.59","2.89","2801.61","43268.03"
"Michele Ashford","4You","Female",51,"50-59","47","111963.92","VIP","2019-10-17","2022-05-26","2.61","2.81","2382.21","42898.05"
"Camille Bosley","Acme Factory","Female",47,"40-49","47","111782.82","VIP","2019-09-26","2022-08-04","2.86","2.62","2378.36","39084.90"
"Nannie Warren","Acme Factory","Female",53,"50-59","48","111674.92","VIP","2019-09-26","2022-03-17","2.47","3.00","2326.56","45212.52"
"Kimberly Plumber","4You","Female",21,"20-29","52","111670.04","VIP","2019-10-24","2022-06-02","2.61","2.79","2147.50","42785.46"
"John Brooks","Umbrella LTDA","Male",39,"30-39","42","111514.04","VIP","2019-10-03","2022-10-13","3.03","2.43","2655.10","36803.31"
"James Fouche","4You","n/a",28,"20-29","46","111423.58","VIP","2019-10-17","2022-05-26","2.61","2.81","2422.25","42691.03"
"Linda Gordan","Monsters CYA","n/a",30,"30-39","46","111390.99","VIP","2019-09-26","2022-10-13","3.05","2.43","2421.54","36521.64"
"Helen Castrellon","Acme Factory","n/a",39,"30-39","43","111201.46","VIP","2019-09-26","2022-04-21","2.57","2.91","2586.08","43269.05"
"Gary Clayton","Umbrella LTDA","n/a",64,"60-69","41","111133.90","VIP","2019-11-21","2022-09-08","2.80","2.52","2710.58","39690.68"
"Jessica Kinsey","Monsters CYA","Female",40,"40-49","46","111053.30","VIP","2019-10-24","2022-10-13","2.97","2.43","2414.20","37391.68"
"Bradley Slaughter","Umbrella LTDA","Male",33,"30-39","45","111020.97","VIP","2019-10-24","2023-02-02","3.28","2.12","2467.13","33847.86"
"Janet Romero","Wonka Company","Female",28,"20-29","45","111005.85","VIP","2019-10-03","2022-09-29","2.99","2.47","2466.80","37125.70"
"Alicia Cedar","Monsters CYA","Female",29,"20-29","49","110948.46","VIP","2019-10-03","2022-12-01","3.16","2.29","2264.25","35110.27"
"Kathleen Fernandez","Acme Factory","Female",64,"60-69","42","110945.43","VIP","2019-10-10","2022-11-03","3.07","2.37","2641.56","36138.58"
"Christopher Norman","Monsters CYA","n/a",29,"20-29","45","110923.86","VIP","2019-10-03","2022-08-25","2.90","2.56","2464.97","38249.61"
"Sumiko Boone","Monsters CYA","n/a",61,"60-69","47","110828.09","VIP","2019-10-31","2022-03-24","2.40","2.98","2358.04","46178.37"
"Kim Firestine","Umbrella LTDA","n/a",42,"40-49","43","110724.76","VIP","2019-11-14","2023-01-05","3.15","2.20","2574.99","35150.72"
"Ronald Barrett","Wonka Company","Male",22,"20-29","48","110718.79","VIP","2019-10-10","2023-01-05","3.24","2.20","2306.64","34172.47"
"Larry Decker","4You","Male",45,"40-49","45","110597.12","VIP","2019-10-10","2022-05-05","2.57","2.87","2457.71","43033.90"
"Judy Williams","Wonka Company","Female",27,"20-29","46","110569.92","VIP","2019-10-24","2023-02-09","3.30","2.10","2403.69","33506.04"
"Judy Mcmann","4You","n/a",25,"20-29","46","110275.63","VIP","2019-11-14","2023-03-23","3.36","1.99","2397.30","32820.13"
"Tina Tomasek","4You","Female",22,"20-29","45","110267.39","VIP","2019-09-26","2022-12-15","3.22","2.25","2450.39","34244.53"
"Irene Land","Monsters CYA","Female",62,"60-69","48","110095.89","VIP","2019-09-26","2022-08-25","2.92","2.56","2293.66","37704.07"
"Gary Lamb","4You","Male",46,"40-49","43","110068.84","VIP","2019-09-26","2022-07-28","2.84","2.64","2559.74","38756.63"
"Nereida Legrand","Wonka Company","n/a",63,"60-69","52","110059.11","VIP","2019-12-12","2023-03-23","3.28","1.99","2116.52","33554.61"
"Robert George","4You","Male",29,"20-29","46","109947.67","VIP","2019-10-24","2022-06-23","2.67","2.73","2390.17","41178.90"
"Tina Higgins","4You","n/a",32,"30-39","45","109939.53","VIP","2019-10-10","2022-11-17","3.11","2.33","2443.10","35350.33"
"Jacqueline Sabir","4You","Female",40,"40-49","49","109714.07","VIP","2019-09-26","2022-03-24","2.49","2.98","2239.06","44061.88"
"Elizabeth Srinvasan","Monsters CYA","Female",61,"60-69","48","109629.94","VIP","2019-10-10","2023-05-04","3.57","1.87","2283.96","30708.67"
"Robert Fleming","Umbrella LTDA","n/a",61,"60-69","42","109412.77","VIP","2019-09-26","2022-04-07","2.53","2.95","2605.07","43246.15"
"Juan Kloke","Wonka Company","Male",57,"50-59","45","108922.36","VIP","2019-10-03","2023-01-05","3.26","2.20","2420.50","33411.77"
"Dennis Shipley","Acme Factory","n/a",23,"20-29","42","108915.99","VIP","2019-09-26","2022-05-19","2.65","2.83","2593.24","41100.37"
"Nancy Doggett","Monsters CYA","n/a",40,"40-49","45","108887.85","VIP","2019-10-17","2022-07-07","2.72","2.70","2419.73","40032.30"
"Glenn Jenkins","Acme Factory","Male",51,"50-59","46","108851.96","VIP","2019-09-26","2022-05-12","2.63","2.85","2366.35","41388.58"
"Marcos Kirk","Acme Factory","Male",34,"30-39","39","108837.47","VIP","2019-10-10","2022-03-31","2.47","2.96","2790.70","44063.75"
"Crystal Fontaine","Umbrella LTDA","Female",40,"40-49","41","108780.17","VIP","2019-10-03","2022-04-28","2.57","2.89","2653.17","42326.91"
"Michael Nutt","Wonka Company","Male",21,"20-29","49","108482.61","VIP","2019-09-26","2022-11-03","3.11","2.37","2213.93","34881.87"
"Naomi Bartz","Monsters CYA","Female",22,"20-29","45","108080.81","VIP","2019-09-26","2022-09-29","3.01","2.47","2401.80","35907.25"
"Stephen Naylor","4You","Male",32,"30-39","44","108000.96","VIP","2019-09-26","2022-06-02","2.68","2.79","2454.57","40298.87"
